,image,label
0,ISIC_2019_Training_Input/ISIC_0025792.jpg,NV
1,ISIC_2019_Training_Input/ISIC_0033068.jpg,MEL
2,ISIC_2019_Training_Input/ISIC_0033301.jpg,BCC
3,ISIC_2019_Training_Input/ISIC_0071719.jpg,NV
4,ISIC_2019_Training_Input/ISIC_0065810.jpg,BKL
5,ISIC_2019_Training_Input/ISIC_0063633.jpg,BCC
6,ISIC_2019_Training_Input/ISIC_0012460_downsampled.jpg,NV
7,ISIC_2019_Training_Input/ISIC_0013796_downsampled.jpg,NV
8,ISIC_2019_Training_Input/ISIC_0064970.jpg,BCC
9,ISIC_2019_Training_Input/ISIC_0060558.jpg,MEL
10,ISIC_2019_Training_Input/ISIC_0068341.jpg,NV
11,ISIC_2019_Training_Input/ISIC_0032977.jpg,NV
12,ISIC_2019_Training_Input/ISIC_0024561.jpg,NV
13,ISIC_2019_Training_Input/ISIC_0027874.jpg,NV
14,ISIC_2019_Training_Input/ISIC_0034180.jpg,MEL
15,ISIC_2019_Training_Input/ISIC_0029617.jpg,BKL
16,ISIC_2019_Training_Input/ISIC_0027646.jpg,NV
17,ISIC_2019_Training_Input/ISIC_0015972_downsampled.jpg,NV
18,ISIC_2019_Training_Input/ISIC_0002374_downsampled.jpg,NV
19,ISIC_2019_Training_Input/ISIC_0026558.jpg,MEL
20,ISIC_2019_Training_Input/ISIC_0000337.jpg,NV
21,ISIC_2019_Training_Input/ISIC_0061729.jpg,NV
22,ISIC_2019_Training_Input/ISIC_0034005.jpg,MEL
23,ISIC_2019_Training_Input/ISIC_0056963.jpg,BCC
24,ISIC_2019_Training_Input/ISIC_0033496.jpg,MEL
25,ISIC_2019_Training_Input/ISIC_0033810.jpg,DF
26,ISIC_2019_Training_Input/ISIC_0032143.jpg,NV
27,ISIC_2019_Training_Input/ISIC_0013975_downsampled.jpg,MEL
28,ISIC_2019_Training_Input/ISIC_0062181.jpg,MEL
29,ISIC_2019_Training_Input/ISIC_0028002.jpg,NV
